,Text Summarization,Docs
10,"Le Règlement (UE) 2019/412 de la Commission du 14 mars 2019 modifiant le règlement (CE) no 1126/2008 portant adoption de certaines normes comptables internationales conformément au règlement (CE) n° 1606/2002 du Parlement européen et du Conseil, en ce qui concerne les normes comptables internationales IAS 12 et IAS 23 et les normes internationales d'information financière IFRS 3 et IFRS 11, a été publié au Journal officiel de l’Union européenne le 15 mars 2019.
Le 12 décembre 2017, l'International Accounting Standards Board (IASB) a publié les améliorations annuelles des normes internationales d'information financière du cycle 2015-2017 (les « améliorations annuelles ») dans le cadre de son processus périodique d'amélioration, qui vise à simplifier et à clarifier les normes. Ces améliorations annuelles ont pour objectif la résolution, non urgente mais nécessaire, de questions dont l'IASB a discuté au cours du cycle, portant sur des passages des normes internationales d'information financière présentant des incohérences ou nécessitant d'être formulés plus clairement. Le présent Règlement adapte la réglementation européenne en conséquence.
","2019-03-15-UE - Règlement 2019-412 Normes comptables internationales IAS 12 et IAS 13, et normes internationales d'information financière IFRS 3 et IFRS 11"
11,"L’Avis du 27 mars 2019 relatif à l’application des articles L. 314-6 du code de la consommation et L. 313-5-1 du code monétaire et financier concernant l’usure, a été publié au Journal officiel de la République française le 27 mars 2019. 
Cet avis vient préciser les taux effectifs moyens pratiqués par les établissements de crédit au cours du premier trimestre de l’année 2019 pour les diverses catégories de crédits et seuils de l’usure correspondants applicables à compter du 1er avril 2019.
L’Avis du 27 mars 2019 relatif à l’application des articles L. 314-6 du code de la consommation et L. 313-5-1 du code monétaire et financier concernant l’usure, a été publié au Journal officiel de la République française le 27 mars 2019. 
Cet avis vient préciser les taux effectifs moyens pratiqués par les établissements de crédit au cours du premier trimestre de l’année 2019 pour les diverses catégories de crédits et seuils de l’usure correspondants applicables à compter du 1er avril 2019.
",2019-03-27-Avis du 27 mars 2019 relatif au taux d'usure
12,"L’ACPR a publié le 19 février 2019 un Avis sur la Mise en œuvre des orientations de l’Autorité bancaire européenne concernant les conditions à remplir pour bénéficier d’une dérogation au mécanisme d’urgence en vertu de l’article 33, paragraphe 6, du règlement délégué (UE) 2018/389 (normes techniques de réglementation relatives à l’authentification forte du client et à des normes ouvertes communes et sécurisées de communication).
L’ACPR s’est déclarée conforme aux orientations de l’EBA (EBA/GL/2018/07) concernant les conditions à remplir pour bénéficier d’une dérogation au mécanisme d’urgence.
Ces orientations sont applicables aux prestataires de services de paiement – établissements de crédit, établissements de paiement et établissements de monnaie électronique – qui doivent tout mettre en œuvre pour les respecter.
",
13,"Le 20 février 2019, l’ACPR a publié l’Instruction n° 2019-I-01 créant le formulaire de demande d’exemption de mécanisme d’urgence applicable à une interface dédiée d’accès aux comptes tenus par un prestataire de service de paiement gestionnaire de compte. 
Le formulaire est joint en annexe de l’instruction, et doit être transmis à l’ACPR pour toute demande d'exemption de mécanisme d’urgence applicable à une interface dédiée.
",2019-02-20- ACPR - instruction n°2019-i-01 formulaire de demande d'exemption de mécanisme d'urgence (RTS-2018-389 & DSP2)
14,"La Banque de France a publié, le 22 février 2019, un Référentiel de sécurité des interfaces d’accès aux comptes de paiement.
La fourniture de nouveaux services de paiement (initiation de paiement, information sur les comptes), ainsi que le service permettant la confirmation de la disponibilité des fonds, issus de la transposition de la directive (UE) 2015/2366 concernant les services de paiement dans le marché intérieur (DSP 2) nécessite qu’un prestataire de services de paiement (dit « tiers ») accède à des comptes de paiement et à leurs informations gérés par d’autres prestataires de services de paiement (dit « gestionnaires de comptes »).
Ces activités étant jugées risquées en matière de lutte contre la fraude, la DSP 2, le règlement délégué (UE) 2018/389 ainsi que le décret n°2018-1228 du 24 décembre 2018 encadrent la fourniture de ces services. 
La Banque de France s’est vue confier la mission de s’assurer de la sécurité de l’accès aux comptes de paiement et à leurs informations ainsi que de s’assurer de la pertinence des normes applicables en la matière A cette fin, elle se fait communiquer, par les prestataires de services de paiement ou toute personne intéressée, les informations utiles concernant l’accès aux systèmes de paiement et à leurs informations ainsi qu’à tous les dispositifs techniques qui y sont associés. Si elle estime que les conditions d’accès à un compte de paiement présentent des garanties de sécurité insuffisantes, elle peut recommander à un prestataire de service de paiement de prendre toutes mesures destinées à y remédier. Si ces recommandations n'ont pas été suivies d'effet, elle peut, après avoir recueilli les observations du prestataire de service de paiement, décider de formuler un avis négatif publié au Journal officiel.
Les articles 30 à 36 du règlement délégué (UE) 2018/389 précisent les exigences spécifiques relatives aux normes ouvertes communes et sécurisées de communication prévues à l’article 98 de la DSP2 afin que les prestataires de services de paiement fournissant les services d’initiation de paiement et d’information sur les comptes ainsi que les émetteurs d’instruments de paiement liés à une carte, puissent communiquer avec les utilisateurs de services de paiement et les prestataires de services de paiement gestionnaires de comptes.
Le « Référentiel de sécurité des interfaces d’accès aux comptes de paiement » (RSIAC) a pour objet de préciser les objectifs de sécurité des interfaces d’accès au sens des articles 30 à 36 du règlement délégué (UE) 2018/389. Conformément à l’article D. 113-10 du code monétaire et financier, l’évaluation de la conformité d’une interface dédiée lancée par un prestataire de service de paiement gestionnaire de comptes au RSIAC est effectuée par un centre d’évaluation agréé par l'Agence nationale de la sécurité des systèmes d'information.
Le RSIAC présente sept objectifs de sécurité s’appliquant à l’ensemble des opérations nécessaire à la fourniture des services d’initiation de paiement, d’information sur les comptes ou de vérification de la disponibilité des fonds :
- Objectif de sécurité 1 : Gouvernance et organisation
- Objectif de sécurité 2 : Évaluation des risques
- Objectif de sécurité 3 : Contrôle et encadrement des risques
- Objectif de sécurité 4 : Identification
- Objectif de sécurité 5 : Sécurité des flux et des sessions de communication
- Objectif de sécurité 6 : Traçabilité
- Objectif de sécurité 7 : Interopérabilité
",2019-02-22- BDF - Référentiel de sécurité des interfaces d'accès (DSP2-RTS-2018-389)
15,"Le Règlement d’exécution (UE) 2019/410 de la Commission du 29 novembre 2018 définissant des normes techniques d'exécution concernant le détail et la structure des informations que les autorités compétentes doivent notifier à l'Autorité bancaire européenne dans le domaine des services de paiement conformément à la directive (UE) 2015/2366 du Parlement européen et du Conseil, a été publié au Journal officiel de l’Union européenne le 15 mars 2019.
L’EBA doit établir et gérer un registre électronique central contenant une liste de tous les établissements de paiement et établissements de monnaie électronique ainsi que de leurs agents et succursales respectifs. À cette fin, il est nécessaire que les autorités compétentes notifient lui notifient les détails permettant aux utilisateurs de services de paiement et aux autres parties intéressées d'identifier aisément et sans ambiguïté chaque entité inscrite au registre et le territoire sur lequel elle exerce ou envisage d'exercer des activités. Ces utilisateurs doivent également pouvoir identifier les services de paiement et les services de monnaie électronique fournis par ces entités.
Le Règlement donne le détail et format des informations qui doivent être notifiées à l’EBA pour la tenue de ce registre.
",2019-03-15-UE - Règlement d'exécution 2019-410 -Détail et structure des infos que les AC doivent notifier à l'ABE dans le domaine des services de paiement
16,"Le Règlement délégué (UE) 2019/411 de la Commission du 29 novembre 2018 complétant la directive (UE) 2015/2366 du Parlement européen et du Conseil par des normes techniques de réglementation fixant les exigences techniques concernant l'établissement, l'exploitation et la gestion du registre électronique central dans le domaine des services de paiement et l'accès aux informations qu'il contient, a été publié le 15 mars au Journal officiel de l’Union européenne.
Chaque autorité compétente devra désigner au moins deux membres de son personnel comme utilisateurs internes et communiquer leur identité à l’EBA qui assurera la gestion de ce registre électronique central. Le Règlement précise les modalités d’accès au registre d’une part pour les utilisateurs internes, d’autre part pour les utilisateurs publics, ceux-ci étant les utilisateurs de services de paiement et autres parties intéressées. Il définit également les modalités de transmission, d’insertion et de modification des informations par les autorités compétentes.
Le Règlement précise aussi les exigences de sécurité prévues pour assurer la sécurité des données enregistrées, ainsi que les exigences en matière de disponibilité et de performance, de gestion et d’assistance mises en œuvre. 
Enfin, il détaille la fonction de recherche d’information et l’affichage qui en résulte.
","2019-03-15-UE - Règlement délégué 2019-411 Complète DPS2 - Fixe exigences techniques sur établissement, exploitation et gestion du registre électronique central dans les services de paiement et accès aux infos"
17,"Le 16 mars 2019 a été publié au Journal officiel de la République française l’Arrêté du 14 mars 2019 portant modification des arrêtés du 29 octobre 2009 portant sur la réglementation prudentielle des établissements de paiement, du 29 juillet 2009 relatif aux relations entre les prestataires de services de paiement et leurs clients en matière d’obligations d’information des utilisateurs de services de paiement et précisant les principales stipulations devant figurer dans les conventions de compte de dépôt et les contrats-cadres de services de paiement, du 2 mai 2013 portant sur la réglementation prudentielle des établissements de monnaie électronique et du 20 mai 2015 portant réglementation prudentielle et comptable en matière bancaire et financière en Nouvelle-Calédonie, en Polynésie française et dans les îles Wallis et Futuna.
Cet arrêté permet d’harmoniser certaines des dispositions portant réglementation prudentielle des établissements de paiement et de monnaie électronique, notamment s’agissant de la procédure applicable en cas de changement de méthode de protection des fonds des utilisateurs de services de paiement. Il permet en outre de procéder à des ajustements des dispositions prévoyant des renvois vers d’autres articles du code monétaire et financier. Enfin, il supprime au sein de l’arrêté du 2 mai 2013 portant sur la réglementation prudentielle des établissements de monnaie électronique la mention relative au montant du capital minimum dont doivent disposer les ceux qui souhaitent bénéficier d’un agrément simplifié, en application du dernier alinéa de l’article L. 526-19, ce montant étant désormais précisé par décret.
",2019-03-16- Arrêté du 14 mars 2019 - Modifications Règlementation prudentielle des EP _ Relations PSP-USP Convention de compte de dépot et contrat-cadre de SP
18,"Le Décret n° 2019-191 du 14 mars 2019 pris pour l’application de l’article L. 526-19 du code monétaire et financier a été publié au Journal officiel de l’Union européenne le 16 mars 2019.
Ce décret a pour objet de préciser le montant du capital minimum dont doivent disposer les établissements de monnaie électronique qui souhaitent bénéficier d’un agrément simplifié, qui est fixé à 100 000 euros.
",2019-03-16- Décret n°2019-191 du 14 mars 2019 pris pour l'application de l'article L526-19 CMF
19,"Le Règlement (UE) 2019/518 du Parlement et du Conseil du 19 mars 2019 modifiant le règlement (CE) n° 924/2009 en ce qui concerne certains frais applicables aux paiements transfrontaliers dans l'Union et les frais de conversion monétaire, a été publié au Journal officiel de l’Union européenne le 29 mars 2019.
L’objectif de ce règlement est de faciliter le fonctionnement du marché intérieur et de mettre fin aux inégalités entre les utilisateurs de services de paiement établis dans les États membres appartenant à la zone euro et ceux établis dans les États membres n'appartenant pas à la zone euro, en alignant les frais perçus pour les paiements transfrontaliers en euros dans l'ensemble de l'Union sur les frais perçus pour les paiements nationaux correspondants réalisés dans la monnaie nationale de l'État membre dans lequel se trouve le prestataire de services de paiement de l'utilisateur de services de paiement.
Ce règlement introduit aussi des mesures supplémentaires pour protéger les consommateurs du risque de frais excessifs sur les services de conversion monétaire et veiller à ce que les consommateurs reçoivent l'information dont ils ont besoin pour choisir la meilleure offre. Les prestataires de services de conversion monétaire sont tenus de publier les informations relatives à leurs frais de conversion monétaire avant l'initiation de l'opération de paiement, y compris aux distributeurs automatiques de billets.
",2019-03-29-UE - Règlement 2019-518 du 19 mars 2019 frais applicables aux paiements transfrontaliers UE et frais conversion monétaire
20,"L’Ordonnance n° 2019-75 du 6 février 2019 relative aux mesures de préparation au retrait du Royaume-Uni de l’Union européenne en matière de services financiers, a été publiée au Journal officiel de la République française le 7 février 2019. 
Cette ordonnance prévoit différentes mesures de préparation au retrait du Royaume-Uni sans accord en matière de services financiers. Les principales mesures concernent :
- L’adaptation du droit français afin de permettre le développement d’un contrat-type (ISDA) (extension du champ des opérations éligibles à la compensation-résiliation et admission de la capitalisation des intérêts dus pour une période inférieure à un an) (art. 1er, 1° et 2°)
- L’extension du bénéfice des protections de la directive 98/26/CE sur le caractère définitif du règlement aux systèmes de règlement interbancaire et de règlement-livraison britanniques, afin que les participants français n’en soient pas exclus (art. 1er, 3°) ; 
- La clarification des pouvoirs de l’ACPR vis-à-vis des entités britanniques ayant conclu des contrats sur la base du passeport européen (art. 1er, 5° et 6°) ;
- La désignation de l’AMF comme autorité compétente pour la supervision des activités liées à la titrisation (art. 1er, 7° à 9°) ;
- La clarification du régime juridique applicable aux contrats d’assurance souscrits antérieurement au Brexit auprès d’assureurs britanniques sur la base du passeport européen : confirmation de l’obligation d’exécuter les contrats valablement souscrits et incitation au transfert de l’activité vers l’UE (ces contrats ne pourront donner lieu ni à reconduction ni à l’émission de nouvelles primes et ce, sous peine de nullité) (art. 2) ;
- La définition d’un mécanisme subsidiaire permettant la conclusion d’une nouvelle convention-cadre avec une filiale européenne d’un établissement britannique (art. 3) ;
- L’introduction de règles assurant une transition facilitée en matière de gestion de placements collectifs devant respecter des ratios d’investissement dans des entités européennes, notamment les PEA et PEA-PME (art. 4).
L’ensemble de ces dispositions doit entrer en vigueur à compter de la sortie du Royaume-Uni de l’Union européenne sans accord conclu conformément à l’article 50 du traité sur l’Union européenne (art. 6).
",2019-02-07- Ordonnance n°2019-75 du 6 février 2019 - Mesures de préparation au retrait du RU de l'UE en matière de Services Financiers
21,"Le Décret n° 2019-224 du 22 mars 2019 relatif à l’homologation des systèmes de règlements interbancaires ou de règlement et de livraison d’instruments financiers régis par le droit d’un pays tiers prévue à l’article L. 330-1 du code monétaire et financier, a été publié au Journal officiel de la République française le 24 mars 2019.
Ce décret a été pris pour application de l’Ordonnance n° 2019-75 qui précède. Il précise la procédure d’homologation des systèmes régis par le droit d’un pays tiers qui bénéficient des dispositions des articles L. 330-1 et L. 330-2 du code monétaire et financier et précise la procédure de déclaration par le système de toute modification qui pourrait affecter les conditions de son homologation, et les conséquences qui peuvent en être tirées. Il entre en vigueur à la date de retrait du Royaume-Uni de l’Union européenne sans accord conclu conformément à l’article 50 du traité sur l’Union européenne.
",2019-03-24-Décret 2019-224 du 22 mars 2019 - Homologation des systèmes de règlements interbancaires ou de règlement et livraison d'instruments financiers régis par le droit d'un pays tiers (art L330-1 CMF)
22,"L’Arrêté du 22 mars 2019 relatif à l’information des assurés et souscripteurs par les entreprises étrangères ne se trouvant plus dans une des situations prévues au I de l’article L. 310-2 du code des assurances, a été publié au Journal officiel de la République française le 24 mars 2019.
Cet arrêté a été pris pour application de l’Ordonnance n° 2019-75 qui précède. Il précise les conditions de communication de l’information des assurés et souscripteurs de contrats d’assurance auprès d’entreprises étrangères ne se trouvant plus dans l’une des situations prévues au I de l’article L. 310-2. Il prévoit une information au moment de la sortie du Royaume-Uni de l’Union européenne sans accord, sur le fait que l’assureur ne pourra plus émettre de nouvelles primes ni renouveler le contrat et, le cas échéant, sur la date de fin des garanties. Il prévoit également, lorsque la garantie arrive à échéance plus de trois mois après l’information initiale, une information de l’assuré de la fin de sa garantie, deux mois avant l’échéance de celle-ci.
",
